,page,text,face,h1,h2,l,r
9034,525, Palmyre,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",198.510009765625,211.85000610351562,79.4377670288086,116.186767578125
9035,525," (Bl,","Font: 'Times-Roman' (serifed, proportional), size 9.92144, color #000000",198.510009765625,211.85000610351562,116.186767578125,134.02810668945312
9036,525," Mt, Pb),","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",198.510009765625,211.85000610351562,134.02810668945312,172.5440673828125
9037,525, Ouadi-ech-Cham,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",198.510009765625,211.85000610351562,172.5440673828125,244.3230743408203
9038,525, (P).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",198.510009765625,211.85000610351562,244.3230743408203,262.7806701660156
9039,525,Aire,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",210.02999877929688,223.3699951171875,52.79999923706055,69.70919799804688
9040,525, géogr.,"Font: 'Times-Roman' (serifed, proportional), size 10.0132, color #000000",210.02999877929688,223.3699951171875,69.70919799804688,98.02474975585938
9041,525," — Iles Canaries, Espagne, Portugal, France sud, Corse, Sardaigne, Italie sud,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",210.02999877929688,223.3699951171875,98.02474975585938,419.53912353515625
9042,525,"Afrique du Nord et du Sud, Grèce, Crète, Mer","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",219.3900146484375,232.73001098632812,34.79999923706055,227.3471221923828
9043,525," Egée,","Font: 'Times-Roman' (serifed, proportional), size 9.92719, color #000000",219.3900146484375,232.73001098632812,227.3471221923828,252.76292419433594
9044,525," Egypte,","Font: 'Times-Roman' (serifed, proportional), size 9.94867, color #000000",219.3900146484375,232.73001098632812,252.76292419433594,286.9501953125
9045,525," Arabie Pétrée, Palestine, Trans-","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",219.3900146484375,232.73001098632812,286.9501953125,420.146728515625
9046,525,"jordanie, Liban, Syrie, Iraq,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",228.75,242.08999633789062,34.08000183105469,146.95880126953125
9047,525, Kbweit.,"Font: 'Times-Roman' (serifed, proportional), size 10.0034, color #000000",228.75,242.08999633789062,146.95880126953125,180.95289611816406
9048,525,Mesembryanthemum,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000",246.51600646972656,261.7510070800781,56.63999938964844,167.83680725097656
9049,525, edule,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000",246.51600646972656,261.7510070800781,167.83680725097656,200.42181396484375
9050,525, L. —,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",246.4169921875,261.09100341796875,200.42181396484375,231.17616271972656
9051,525, Carpobrotus,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000",247.53900146484375,260.9700012207031,231.17616271972656,291.7561950683594
9052,525, edulis,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000",247.53900146484375,260.9700012207031,291.7561950683594,321.1750793457031
9053,525, (L.) N.E. Br. —,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",246.4169921875,261.09100341796875,321.1750793457031,401.9273986816406
9054,525, 2|_.,"Font: 'Times-Roman' (serifed, proportional), size 10.7562, color #000000",246.4169921875,261.09100341796875,401.9273986816406,420.02557373046875
9055,525,"Grande plante pluricaule à tiges rampantes, pouvant atteindre","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",258.177001953125,272.85101318359375,35.279998779296875,318.1013488769531
9056,525, 2,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",258.177001953125,272.85101318359375,318.1013488769531,327.1683349609375
