,page,text,face
169,0,"de ce fait plus ou moins fragile à la base, à tiges anciennes lignifiées plus ou moins","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
170,0,"couchées et tiges récentes herbacées, dressées, en général courtes, 10-50 cm., ra-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
171,0,"meuses, glabrescentes, mais pourvues de quelques soies urticantes. Feuilles longue-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
172,0,"ment pétiolées, brièvement hispides sur les deux faces, armées de quelques soies","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
173,0,"urticantes, à limbe ovale-aigu, en coin ou arrondi à la base, profondément denté,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
174,0,mais à dents relativement larges et peu aiguës. Inflorescences,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
175,0, ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
176,0,"spiciform.es,","Font: 'Times-Roman' (serifed, proportional), size 10.9587, color #000000"
177,0, sub-,"Font: 'Times-Roman' (serifed, proportional), size 10.9587, color #000000"
178,0,"sessiles, non rameuses, grêles, allongées, à l'aisselle des feuilles supérieures, géminées,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
179,0,à rachis un peu ailé. Inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
180,0,"globuleuses, hérissées de soies urticantes. Poils","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
181,0,"urticants espacés, mais provoquant une irritation intense et prolongée.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
182,0,"Floraison: janvier-mai, très localisée.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
183,0,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
184,0, Mi.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
185,0," Mohrab, entre Ghosta et Dlepta (Th, Gb, Mt, Pb). Mgheiré,","Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
186,0, olim,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
187,0, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000"
188,0,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
189,0, Mm.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
190,0, Slenfé (Sam).,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000"
191,0,"Aire géogr. — Endémique. Trouvée aussi, au nord de notre territoire près de Bityas, dans","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
192,0,l'Amanus,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
193,0, (Dlb).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
194,0,Urtica hulensis,"Font: 'Times-Roman' (serifed, proportional), size 9.9049, color #000000"
195,0, Feinbr. — Plante décrite par N.,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
196,0, FEINBRUN,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
197,0, : « A new nettle from,"Font: 'Times-Roman' (serifed, proportional), size 8.85539, color #000000"
198,0,"Huleh»,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
199,0," dans: Palestine Journal of Botany, Jerusalem Series, Vol. IV: 114-115,","Font: 'Times-Roman' (serifed, proportional), size 10.9401, color #000000"
200,0,. 1947. •,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
201,0,Présentée comme voisine de,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
202,0, membranacea,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
203,0, et,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
204,0, de,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
205,0," fragilis,","Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000"
206,0," cette espèce est, comme","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
207,0,"la précédente, vivace, dotée de stipules connées, à poils urticants peu nombreux","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
208,0,"mais très actifs, mais s'en sépare par ses feuilles bien plus longuement","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
209,0," acuminées,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
210,0,"sa base non ligneuse et fragile, la taille de ses tiges pouvant aller jusqu'à un mètre.","Font: 'Times-Roman' (serifed, proportional), size 10.9543, color #000000"
211,0,Les inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
212,0,seules ont été observées et décrites. Proches de celles de,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
213,0," fragilis,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
214,0,"elles sont courtes, non rameuses, denses, multiflores.","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000"
215,0,Bords du Jourdain et du Lac,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
216,0, Houle.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
217,0,PARIETARIA,"Font: 'Times-Roman' (serifed, proportional), size 10.9345, color #000000"
218,0," L. — Herbes annuelles ou vivaces, à feuilles non stipulées,","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
219,0,"alternes, 3-nerviées à la base, pourvues de cystolithes punctiformes. Inflorescences","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
220,0,disposées par 2 à la base,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
221,0, d'un,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
222,0, ramule,"Font: 'Times-Roman' (serifed, proportional), size 11.1234, color #000000"
223,0," axillaire souvent avorté, en","Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
224,0, cymes,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
225,0, d'abord,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
226,0,"bipares, puis unipares dans leurs dernières ramifications, lâches ou denses,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
227,0, 3-multi-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
228,0,"flores. Fleurs à 1-3 bractées foliacées, libres ou plus ou moins soudées à la base entre","Font: 'Times-Roman' (serifed, proportional), size 11.0342, color #000000"
229,0,"elles ou même avec celles des fleurs voisines et les entrenœuds intermédiaires, for-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
230,0,mant ainsi une sorte d'involucre autour des fleurs. De celles-ci les latérales sont,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
231,0,ordinairement hermaphrodites et les médianes ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
232,0,. Fleurs hermaphr. à 4 sépales,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
233,0,concrescents à la base en un tube,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
234,0," campanule,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
235,0, accrescent après l'anthèse. 4 étamines.,"Font: 'Times-Roman' (serifed, proportional), size 10.9631, color #000000"
236,0,Fleur ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
237,0,"à périanthe tubuleux, renflé, à limbe 4-fide, à lobes connivents. Ovaire libre,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
238,0,"droit, ové ou oblong, uniloculaire. Akène droit, ové,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
239,0, luisant,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
240,0, et,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000"
241,0, lisse.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000"
242,0,"Plante vivace, généralement pluricaule, par ailleurs très variable, herbacée ou sous-frutescente,","Font: 'Times-Roman' (serifed, proportional), size 10.9099, color #000000"
243,0,"à feuilles plus ou moins longues, pétiolées ou sessiles, caractérisée surtout par le périanthe des","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000"
