,0,1,2
1461, Bir-al-'Alaniyé,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000",page 540 of document.pdf
1462," (Pb),","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1463, Jabal-et-Tenf,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000",page 540 of document.pdf
1464, (Bb).,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1465,Sud.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1466, Hammé,"Font: 'Times-Roman' (serifed, proportional), size 9, color #000000",page 540 of document.pdf
1467, (Pb).,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1468,"Aire géogr. —• Afrique du Nord,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1469," Egypte,","Font: 'Times-Roman' (serifed, proportional), size 8.9538, color #000000",page 540 of document.pdf
1470," Ethiopie,","Font: 'Times-Roman' (serifed, proportional), size 8.9614, color #000000",page 540 of document.pdf
1471," Chypre, Palestine sud,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1472," TransJordanie,","Font: 'Times-Roman' (serifed, proportional), size 8.97693, color #000000",page 540 of document.pdf
1473," Syrie,","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1474,"Iraq, Iran, Géorgie.","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1475,"SCLERANTHUS L. — Herbes de petite taille, à feuilles linéaires-sétacées.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1476,"Calice à tube urcéolé, à la fin durci. 5 sépales mutiques. Pétales filiformes, parfois","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1477,"avortés. Étamines 5. Ovaire libre. Styles 2, distincts.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1478,"Calice de très petite taille, 2 mm. seulement à sépales courts et un peu marginés","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1479,S.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1480, collinus,"Font: 'Times-Italic' (italic, serifed, proportional), size 9, color #000000",page 540 of document.pdf
1481, Hornung,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1482,"Calice de 4 mm. ou davantage à sépales verts, égalant ou dépassant la longueur du tube","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1483,Sépales tous droits,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1484, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1485,S.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1486, annuus,"Font: 'Times-Italic' (italic, serifed, proportional), size 9, color #000000",page 540 of document.pdf
1487, L.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1488,Sépales tous fortement courbés et uncinés,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1489, ,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1490,S.,"Font: 'Times-Italic' (italic, serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1491, uncinatus,"Font: 'Times-Italic' (italic, serifed, proportional), size 9, color #000000",page 540 of document.pdf
1492, Schur.,"Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1493,"Sépales les uns droits les autres recourbés, sur les mêmes fruits","Font: 'Times-Roman' (serifed, proportional), size 8.95489, color #000000",page 540 of document.pdf
1494,S. orientalis,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.0045, color #000000",page 540 of document.pdf
1495, Rôssler.,"Font: 'Times-Roman' (serifed, proportional), size 9.009, color #000000",page 540 of document.pdf
1496,Scleranthus,"Font: 'Times-Bold' (serifed, proportional, bold), size 11, color #000000",page 540 of document.pdf
1497, orientalis,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000",page 540 of document.pdf
1498," Rôssler,","Font: 'Times-Roman' (serifed, proportional), size 11.011, color #000000",page 540 of document.pdf
1499," Phyton, Vol. 7, pp. 206-224, 1957","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1500, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000",page 540 of document.pdf
1501,"CLIV,","Font: 'Times-Roman' (serifed, proportional), size 10.9717, color #000000",page 540 of document.pdf
1502," n. 8). — ®. Plante annuelle, 1,3 à 20 cm. de haut, non glanduleuse. Tiges","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1503,"décombantes, ascendantes ou dressées au sommet, à pilosité uniforme.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1504, Entrenceuds,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",page 540 of document.pdf
1505,"longs de 0,5 à 4 cm. de long. Feuilles opposées","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",page 540 of document.pdf
1506, ,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",page 540 of document.pdf
