,page,text,face,h1,h2
158,451,"Aire géogr. — Europe, Asie septentrionale et moyenne, Polynésie, Amérique.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",93.31002807617188,106.6500244140625
159,451,Urtica fragilis,"Font: 'Times-Bold' (serifed, proportional, bold), size 10.9449, color #000000",110.59601593017578,125.83101654052734
160,451," Thiébaut (Bulletin de la Société Botanique de France, 82,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",110.49701690673828,125.1710205078125
161,451,"1935, p. 4)","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",122.01697540283203,136.69097900390625
162,451, (PI.,"Font: 'Times-Roman' (serifed, proportional), size 10.8914, color #000000",122.01697540283203,136.69097900390625
163,451," CXXII,","Font: 'Times-Roman' (serifed, proportional), size 10.9524, color #000000",122.01697540283203,136.69097900390625
164,451, n. 4). —,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",122.01697540283203,136.69097900390625
165,451, %.,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000",123.13897705078125,136.56997680664062
166,451," Plante monoïque,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",122.01697540283203,136.69097900390625
167,451, suffrutescente,"Font: 'Times-Roman' (serifed, proportional), size 11, color #000000",122.01697540283203,136.69097900390625
168,451," et ligneuse,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",122.01697540283203,136.69097900390625
169,451,"de ce fait plus ou moins fragile à la base, à tiges anciennes lignifiées plus ou moins","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",133.5369873046875,148.21099853515625
170,451,"couchées et tiges récentes herbacées, dressées, en général courtes, 10-50 cm., ra-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",145.0570068359375,159.73101806640625
171,451,"meuses, glabrescentes, mais pourvues de quelques soies urticantes. Feuilles longue-","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",156.57699584960938,171.25100708007812
172,451,"ment pétiolées, brièvement hispides sur les deux faces, armées de quelques soies","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",168.09698486328125,182.77099609375
173,451,"urticantes, à limbe ovale-aigu, en coin ou arrondi à la base, profondément denté,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",179.61700439453125,194.291015625
174,451,mais à dents relativement larges et peu aiguës. Inflorescences,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",191.13699340820312,205.81100463867188
175,451, ,"Font: 'Times-Roman' (serifed, proportional), size 10.9587, color #000000",191.13699340820312,205.81100463867188
176,451,"spiciform.es,","Font: 'Times-Roman' (serifed, proportional), size 10.9587, color #000000",191.13699340820312,205.81100463867188
177,451, sub-,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",191.13699340820312,205.81100463867188
178,451,"sessiles, non rameuses, grêles, allongées, à l'aisselle des feuilles supérieures, géminées,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",202.656982421875,217.33099365234375
179,451,à rachis un peu ailé. Inflorescences ,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",214.177001953125,228.85101318359375
180,451,"globuleuses, hérissées de soies urticantes. Poils","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",214.177001953125,228.85101318359375
181,451,"urticants espacés, mais provoquant une irritation intense et prolongée.","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",225.69699096679688,240.37100219726562
182,451,"Floraison: janvier-mai, très localisée.","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",242.11001586914062,255.45001220703125
183,451,L.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",254.82998657226562,268.16998291015625
184,451, Mi.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",255.84999084472656,268.05999755859375
185,451," Mohrab, entre Ghosta et Dlepta (Th, Gb, Mt, Pb). Mgheiré,","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",254.82998657226562,268.16998291015625
186,451, olim,"Font: 'Times-Roman' (serifed, proportional), size 10, color #000000",254.82998657226562,268.16998291015625
187,451, (Bl).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",254.82998657226562,268.16998291015625
188,451,S.,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",267.7900085449219,281.1300048828125
189,451, Mm.,"Font: 'Times-Italic' (italic, serifed, proportional), size 9.94987, color #000000",268.80999755859375,281.02001953125
190,451, Slenfé (Sam).,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",267.7900085449219,281.1300048828125
191,451,"Aire géogr. — Endémique. Trouvée aussi, au nord de notre territoire près de Bityas, dans","Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",280.510009765625,293.8500061035156
192,451,l'Amanus,"Font: 'Times-Roman' (serifed, proportional), size 9.94987, color #000000",289.8699951171875,303.2099914550781
193,451, (Dlb).,"Font: 'Times-Roman' (serifed, proportional), size 9.9049, color #000000",289.8699951171875,303.2099914550781
194,451,Urtica hulensis,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000",308.65899658203125,322.0899963378906
195,451, Feinbr. — Plante décrite par N.,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",307.5369873046875,322.21099853515625
196,451, FEINBRUN,"Font: 'Times-Roman' (serifed, proportional), size 8.85539, color #000000",309.748291015625,321.6208801269531
197,451, : « A new nettle from,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",307.5369873046875,322.21099853515625
198,451,"Huleh»,","Font: 'Times-Roman' (serifed, proportional), size 10.9401, color #000000",319.2969970703125,333.97100830078125
199,451," dans: Palestine Journal of Botany, Jerusalem Series, Vol. IV: 114-115,","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",319.2969970703125,333.97100830078125
200,451,. 1947. •,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",331.0570068359375,345.73101806640625
201,451,Présentée comme voisine de,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",348.09698486328125,362.77099609375
202,451, membranacea,"Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000",349.218994140625,362.6499938964844
203,451, et,"Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",348.09698486328125,362.77099609375
204,451, de,"Font: 'Times-Italic' (italic, serifed, proportional), size 11, color #000000",349.218994140625,362.6499938964844
205,451," fragilis,","Font: 'Times-Italic' (italic, serifed, proportional), size 10.9449, color #000000",349.218994140625,362.6499938964844
206,451," cette espèce est, comme","Font: 'Times-Roman' (serifed, proportional), size 10.9449, color #000000",348.09698486328125,362.77099609375
